Name,Type,Mag,Dist. / kpc,Constellation,R.A.,Rahours,Raminutes,Radeg,Decl.,Decdeg,Decmin,DeclDeg,RadRa,RadDec,Other names
NGC 912,Galaxy,14.9,73500,Andromeda,225,2,25,36.25,+41°46',41,46,41.76666667,0.632681854,0.728965851,
NGC 213,Galaxy,14.7,73550,Pisces,41,0,41,10.25,+16°28',16,28,16.46666667,0.178896248,0.28739755,
NGC 946,Galaxy,14.5,73600,Andromeda,230,2,30,37.5,+42°13',42,13,42.21666667,0.654498469,0.736819833,
NGC 594,Galaxy,15.8,73700,Cetus,132,1,32,23,-16°32',-16,-32,-16.53333333,0.401425728,-0.288561103,
NGC 430,Galaxy,12.5,73750,Cetus,112,1,12,18,-00°15',0,-15,-0.25,0.314159265,-0.004363323,
NGC 910,Galaxy,12.2,74000,Andromeda,225,2,25,36.25,+41°49',41,49,41.81666667,0.632681854,0.729838516,
NGC 644,Galaxy,14.7,74400,Phoenix,138,1,38,24.5,-42°35',-42,-35,-42.58333333,0.427605667,-0.743219373,
NGC 239,Galaxy,14.3,74500,Cetus,44,0,44,11,-03°45',-3,-45,-3.75,0.191986218,-0.065449847,
NGC 252,Galaxy,12.5,74850,Andromeda,48,0,48,12,+27°37',27,37,27.61666667,0.20943951,0.482001762,
NGC 163,Galaxy,12.7,74950,Cetus,35,0,35,8.75,-10°07',-10,-7,-10.11666667,0.15271631,-0.176569143,
NGC 165,Galaxy,13.2,75050,Cetus,36,0,36,9,-10°06',-10,-6,-10.1,0.157079633,-0.176278254,
NGC 621,Galaxy,14.1,75100,Triangulum,136,1,36,24,+35°30',35,30,35.5,0.41887902,0.619591884,
NGC 558,Galaxy,15.2,75600,Cetus,127,1,27,21.75,-01°58',-1,-58,-1.966666667,0.379609112,-0.034324809,
NGC 669,Galaxy,12.3,75600,Triangulum,147,1,47,26.75,+35°33',35,33,35.55,0.466875575,0.620464549,
NGC 512,Galaxy,13.9,75700,Andromeda,123,1,23,20.75,+33°54',33,54,33.9,0.36215582,0.591666616,
NGC 311,Galaxy,13,76200,Pisces,57,0,57,14.25,+30°16',30,16,30.26666667,0.248709418,0.528252987,
NGC 809,Galaxy,14.6,76300,Cetus,204,2,4,31,-08°44',-8,-44,-8.733333333,0.541052068,-0.152425421,
NGC 132,Galaxy,13.7,76500,Cetus,30,0,30,7.5,+02°05',2,5,2.083333333,0.130899694,0.036361026,
NGC 277,Galaxy,14.4,76800,Cetus,51,0,51,12.75,-08°35',-8,-35,-8.583333333,0.22252948,-0.149807427,
NGC 917,Galaxy,14.4,77300,Triangulum,226,2,26,36.5,+31°54',31,54,31.9,0.637045177,0.556760031,
NGC 519,Galaxy,15.3,77900,Cetus,124,1,24,21,-01°38',-1,-38,-1.633333333,0.366519143,-0.028507044,
NGC 836,Galaxy,14.5,77900,Cetus,210,2,10,32.5,-22°03',-22,-3,-22.05,0.567232007,-0.3848451,
NGC 515,Galaxy,14.3,78600,Pisces,124,1,24,21,+33°28',33,28,33.46666667,0.366519143,0.584103523,
NGC 568,Galaxy,12.6,78600,Sculptor,127,1,27,21.75,-35°43',-35,-43,-35.71666667,0.379609112,-0.623373431,
NGC 508,Galaxy,12.8,79000,Pisces,123,1,23,20.75,+33°16',33,16,33.26666667,0.36215582,0.580612864,
